lat,lng,elev,full_address,date
40.459364,-106.821846,2059.93212891,"Mt Werner Rd & US-40, Steamboat Springs, CO 80487, USA",Mar 2011
40.524472,-104.733112,1471.72473145,"17110-17872 Collins St, Eaton, CO 80615, USA",Jul 2015
39.655261,-105.339143,2235.71777344,"29797-29979 Stagecoach Blvd, Evergreen, CO 80439, USA",Jun 2008
37.570894,-106.113446,2329.91601562,"1-65 E Co Rd 38, Monte Vista, CO 81144, USA",Sep 2012
40.448254,-104.85141,1444.43383789,"30801 Co Rd 23, Greeley, CO 80631, USA",Sep 2007
37.698894,-105.543143,2432.28173828,"8332 CO-150, Mosca, CO 81146, USA",Jul 2013
39.565879,-104.647563,1865.04431152,"760 Co Rd 194, Parker, CO 80138, USA",Jul 2012
39.910698,-105.056481,1611.99694824,"11801-11827 Chase St, Westminster, CO 80020, USA",Jul 2012
40.050025,-105.908535,2556.40405273,"Village Rd, Granby, CO 80446, USA",Oct 2012
39.282206,-108.941159,1424.97155762,"568 S Rd, Mack, CO 81525, USA",Jul 2012
39.087248,-102.866347,1466.02734375,"2716-2798 Co Rd 16, Seibert, CO 80834, USA",Oct 2012
39.996037,-102.710068,1272.71679688,"29001-29999 CO-59, Yuma, CO 80759, USA",Oct 2007
39.260702,-102.874242,1446.02648926,"14500-16506 CO-59, Seibert, CO 80834, USA",Oct 2012
39.740943,-104.944218,1611.67468262,"1522-1538 Garfield St, Denver, CO 80206, USA",Aug 2015
39.60365,-105.151494,1806.66015625,"13399 W Coal Mine Ave, Littleton, CO 80127, USA",Aug 2012
39.045154,-108.521569,1422.01086426,"276 Gill Creek Ct, Grand Junction, CO 81503, USA",Jul 2012
40.397589,-104.869831,1517.79943848,"27022-27516 Co Rd 21, Greeley, CO 80634, USA",Jul 2015
40.401073,-104.869825,1520.96069336,"27548-27672 Co Rd 21, Greeley, CO 80634, USA",Jul 2015
38.643987,-104.864542,2016.08666992,"11526-12244 CO-115, Colorado Springs, CO 80926, USA",Aug 2015
40.456961,-103.301575,1246.99475098,"I-76, Atwood, CO 80722, USA",Jul 2015
38.860762,-104.516919,1952.68786621,"1910 Slocum Rd, Peyton, CO 80831, USA",Jun 2008
40.514326,-104.735356,1469.22399902,"35245 Co Rd 35, Eaton, CO 80615, USA",Oct 2007
39.33943,-105.121306,2204.88818359,"1440-1598 CO-67, Sedalia, CO 80135, USA",Mar 2009
39.23847,-104.918674,2088.93310547,"1798 Quartz Mountain Dr, Larkspur, CO 80118, USA",Sep 2007
40.017699,-105.207201,1596.12744141,"1959-2007 63rd St, Boulder, CO 80301, USA",Jun 2015
38.86183,-104.887821,1916.47192383,"274-398 Via Linda Vista, Manitou Springs, CO 80829, USA",Sep 2015
37.574456,-106.112503,2330.52929688,"2900 Sherman Ave, Monte Vista, CO 81144, USA",Sep 2012
37.648349,-106.26961,2380.49804688,"6440-6798 W Co Rd 5 N, Monte Vista, CO 81144, USA",Oct 2012
39.04674,-108.516115,1416.64379883,"2896 C Rd, Grand Junction, CO 81503, USA",Jul 2012
39.337734,-105.12137,2225.8581543,"1626-1648 CO-67, Sedalia, CO 80135, USA",Mar 2009
38.028804,-105.982638,2311.66186523,"Co Rd U60, Moffat, CO 81143, USA",Sep 2012
39.734794,-107.99816,2134.77514648,"2042-2802 Co Rd 5, Rifle, CO 81650, USA",Oct 2012
38.991011,-108.269459,1973.73156738,"4949-4999 Lands End Rd, Whitewater, CO 81527, USA",Oct 2008
40.259834,-104.923306,1493.22766113,"17001-17999 Co Rd 15, Colorado, USA",Sep 2007
38.601077,-107.570862,2236.12915039,"81000-81434 CO-92, Crawford, CO 81415, USA",Sep 2012
40.735231,-105.127874,1617.82385254,"10216 Miners Lake Rd, Fort Collins, CO 80524, USA",Sep 2007
39.754101,-105.144473,1696.66430664,"2571-2591 Beech Ct, Golden, CO 80401, USA",Jun 2012
40.049557,-105.25912,1640.56201172,"4040 28th St, Boulder, CO 80301, USA",May 2015
40.631398,-105.36497,2183.20678711,"4510-4916 Stove Prairie Rd, Bellvue, CO 80512, USA",Sep 2007
40.246886,-105.153851,1576.86486816,"8582 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009
40.151811,-103.584719,1311.30212402,"10001-10773 CO-71, Brush, CO 80723, USA",Sep 2009
40.356189,-105.498573,2306.11474609,"1513-1569 Creekside Ct, Estes Park, CO 80517, USA",Oct 2012
38.831858,-108.298212,1583.39685059,"US-50, Delta, CO 81416, USA",Aug 2012
37.561641,-106.149487,2334.63964844,"744 CO-15, Monte Vista, CO 81144, USA",Sep 2012
39.277197,-103.469574,1689.0,"US-24, Genoa, CO 80818, USA",Oct 2012
40.608332,-108.343464,1769.13708496,"45020 CO-318, Maybell, CO 81640, USA",Sep 2008
39.638504,-104.724822,1781.19702148,"E Quincy Ave, Aurora, CO 80018, USA",Aug 2012
40.181862,-104.146892,1406.64367676,"Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012
39.117701,-104.743981,2274.37304688,"19570 Twisted Pine Dr, Colorado Springs, CO 80908, USA",Sep 2011
40.351332,-105.503628,2342.93994141,"1100-1198 Acacia Dr, Estes Park, CO 80517, USA",Oct 2012
38.850344,-103.456501,1517.35864258,"CO-94, Karval, CO 80823, USA",Aug 2012
38.89862,-105.990561,2849.40698242,"33600 US-24, Buena Vista, CO 81211, USA",Aug 2015
38.969791,-104.618586,2178.88964844,"Stapleton Dr, Peyton, CO 80831, USA",Sep 2011
40.744144,-102.994113,1188.72900391,"I-76, Fleming, CO 80728, USA",Jun 2012
40.246883,-105.154185,1577.27294922,"8379-8599 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009
37.367919,-107.851487,2000.78942871,"28561 US-550, Durango, CO 81301, USA",Dec 2007
39.625655,-104.743138,1777.83508301,"4963 S Malta St, Aurora, CO 80015, USA",Jun 2012
40.181997,-104.132276,1403.62524414,"1264 Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012
40.185111,-106.018941,2530.19946289,"5744 CO-125, Granby, CO 80446, USA",Sep 2012
38.996304,-103.479091,1569.93615723,"Co Rd 109, Hugo, CO 80821, USA",Aug 2012
38.066255,-103.191275,1182.59204102,"12789-12999 County Road Ff 75, Las Animas, CO 81054, USA",Jul 2012
39.411727,-105.255139,1992.93981934,"16675-16999 SW Platte River Rd, Pine, CO 80470, USA",Jun 2015
40.056934,-105.24432,1623.69958496,"4561 47th St, Boulder, CO 80301, USA",Jul 2012
40.355538,-104.803353,1472.72216797,"4900-5618 77th Ave, Greeley, CO 80634, USA",Jul 2012
38.853629,-106.163585,2491.10205078,"29925 Co Rd 357, Buena Vista, CO 81211, USA",Oct 2012
39.294418,-102.544872,1333.99536133,"I-70, Bethune, CO 80805, USA",Oct 2012
38.777242,-107.981082,1569.50598145,"20354-20478 Iris Rd, Orchard City, CO 81410, USA",Aug 2012
39.803585,-105.061309,1616.3848877,"5880-5940 W 59th Ave, Arvada, CO 80003, USA",Sep 2014
38.974537,-104.69851,2190.20825195,"9865 Eaglet Way, Colorado Springs, CO 80908, USA",Sep 2011
38.286333,-104.554136,1439.3392334,"Pete Jimenez Pkwy, Pueblo, CO 81001, USA",Jul 2015
37.660998,-107.797835,2769.11132812,"US-550, Durango, CO 81301, USA",Dec 2007
37.731851,-107.75035,3010.17382812,"US-550, Durango, CO 81301, USA",Dec 2007
40.582304,-104.991096,1505.08959961,"405-407 Loma Linda Dr, Fort Collins, CO 80524, USA",Jul 2012
39.80579,-105.071455,1621.92224121,"6785 W 60th Ave, Arvada, CO 80003, USA",Sep 2014
38.775774,-109.328506,1248.72302246,"UT-128, Moab, UT 84532, USA",Sep 2012
40.511864,-105.25068,1693.32421875,"12892 N Co Rd 27, Loveland, CO 80538, USA",Sep 2012
38.117917,-107.851766,2410.37158203,"3978-3990 CO-62, Ridgway, CO 81432, USA",Sep 2008
39.837384,-106.231738,2435.39501953,"2001-2541 Heeney Rd, Silverthorne, CO 80498, USA",Sep 2009
40.051121,-105.24427,1622.62866211,"4200-4398 47th St, Boulder, CO 80301, USA",Jul 2012
38.232863,-102.724016,1190.93469238,"41001-41099 US-287, Wiley, CO 81092, USA",Jul 2012
40.542333,-104.922768,1513.81567383,"37355 Northwest Dr, Windsor, CO 80550, USA",Jul 2012
40.535831,-104.927125,1512.75915527,"36880-36998 Co Rd 15, Windsor, CO 80550, USA",Jun 2012
40.53808,-104.926034,1513.82373047,"7014-7154 Co Rd 76, Windsor, CO 80550, USA",Jul 2012
40.596948,-105.004194,1513.2635498,"802 Waterglen Dr, Fort Collins, CO 80524, USA",Jun 2012
38.408816,-104.614021,1512.76464844,"US-85, Pueblo, CO 81008, USA",Aug 2015
37.72841,-107.742261,3077.00415039,"US-550, Durango, CO 81301, USA",Dec 2007
39.76863,-104.867658,1611.2701416,"10369-10483 Smith Rd, Denver, CO 80239, USA",Aug 2015
40.523681,-104.812843,1485.79516602,"13000-13688 Co Rd 74, Eaton, CO 80615, USA",Jul 2015
37.401548,-105.085465,2497.73852539,"14520-14564 CO-12, La Veta, CO 81055, USA",Aug 2012
37.654964,-104.790564,1862.81933594,"13438 I-25, Walsenburg, CO 81089, USA",Aug 2015
40.080572,-104.616688,1508.60058594,"Unnamed Road, Hudson, CO 80642, USA",Sep 2007
40.392918,-104.556083,1407.24304199,"US-34, Kersey, CO 80644, USA",Jul 2015
40.247538,-104.672216,1472.79602051,"Beebe Draw Farms Pkwy, Platteville, CO 80651, USA",Sep 2007
37.651069,-104.801308,1881.58410645,"CO-69, Walsenburg, CO 81089, USA",Jul 2012
39.625401,-105.258164,2185.87890625,"22759 Mountain Spirit Way, Indian Hills, CO 80454, USA",Aug 2012
38.089704,-106.134984,2347.30102539,"244 Gunnison Ave, Saguache, CO 81149, USA",Sep 2012
39.746389,-105.302692,1895.65405273,"US-6, Golden, CO 80401, USA",Jul 2012
39.165242,-108.635931,1417.98999023,"1126 22 1/2 Rd, Grand Junction, CO 81505, USA",Jul 2012
38.728539,-107.969608,1573.96740723,"5096-5210 2110 Ln, Delta, CO 81416, USA",Aug 2012
39.072016,-106.466056,3028.5546875,"12263 CO-82, Buena Vista, CO 81211, USA",Aug 2015
38.92999,-107.905678,2073.02880859,"24563 Tannin Rd, Cedaredge, CO 81413, USA",Aug 2012
38.607194,-107.981694,1633.65893555,"404 S 3rd St, Montrose, CO 81401, USA",Aug 2012
40.319457,-104.869645,1461.52770996,"9836 Co Rd 46, Milliken, CO 80543, USA",Jul 2012
40.812246,-104.764143,1642.69274902,"Co Rd 114, Nunn, CO 80648, USA",Oct 2007
39.907029,-104.961808,1614.08044434,"2143 E 116th Pl, Northglenn, CO 80233, USA",Aug 2012
39.972951,-106.767419,2354.22290039,"33900 CO-131, Toponas, CO 80479, USA",Sep 2008
39.470999,-104.993139,1728.53979492,"5775-5861 Airport Rd, Littleton, CO 80125, USA",Jul 2008
39.304934,-103.818012,1697.22570801,"I-70, Limon, CO 80828, USA",Sep 2011
40.136375,-109.029784,1664.73510742,"2621-2917 Co Rd 21, Rangely, CO 81648, USA",Apr 2009
40.874619,-105.875497,2544.2590332,"42600-43498 Co Rd 80C, Jelm, CO 82063, USA",Sep 2007
39.635405,-104.990235,1644.05615234,"4470-4480 S Bannock St, Englewood, CO 80110, USA",Sep 2014
40.351613,-102.908209,1303.08483887,"Co Rd 54, Otis, CO 80743, USA",Jul 2008
38.51835,-107.009646,2303.43530273,"34356-35382 US-50, Gunnison, CO 81230, USA",Sep 2012
38.973049,-108.463398,1427.87329102,"2896-2988 CO-141, Whitewater, CO 81527, USA",Jul 2012
37.324182,-108.152614,2359.18481445,"3500 US-160, Hesperus, CO 81326, USA",Jun 2012
39.646306,-104.803503,1733.18078613,"3855 S Alicia Pkwy, Aurora, CO 80013, USA",Oct 2014
39.23303,-105.201064,1993.76306152,"8657-9015 CO-67, Sedalia, CO 80135, USA",Jun 2015
37.50271,-105.806583,2297.17260742,"12764-12930 Rd 5 S, Alamosa, CO 81101, USA",Oct 2012
39.564607,-104.527526,1836.26550293,"40301-40577 County Line Rd, Elizabeth, CO 80107, USA",Jul 2012
39.667442,-104.839197,1715.2923584,"S Ursula St, Aurora, CO 80014, USA",Sep 2012
39.293375,-102.70766,1372.2791748,"I-70, Vona, CO 80861, USA",Oct 2012
39.571907,-105.072039,1671.64880371,"7901-7913 S Otis Ct, Littleton, CO 80128, USA",Oct 2011
40.112041,-105.123323,1537.93347168,"7599 Cresthill Dr, Longmont, CO 80504, USA",Aug 2012
39.585308,-105.05468,1662.48986816,"7221-7231 S Sheridan Ct, Littleton, CO 80128, USA",Oct 2011
40.123626,-104.962161,1505.55834961,"4894-4898 Wren Ct, Longmont, CO 80504, USA",Sep 2012
40.624541,-103.463646,1281.73083496,"6000-6408 CO-14, Sterling, CO 80751, USA",Jul 2015
